[22:14:21] ,29720,0.000,2.984
[22:14:21] ,29730,0.000,2.984
[22:14:21] ,29740,0.000,2.984
[22:14:21] ,29750,0.000,2.984
[22:14:21] ,29760,0.000,2.984
[22:14:21] ,29770,0.000,2.984
[22:14:21] ,29780,0.000,2.984
[22:14:21] ,29790,0.000,2.985
[22:14:21] ,29800,0.000,2.985
[22:14:21] ,29810,0.000,2.985
[22:14:21] ,29820,0.000,2.987
[22:14:21] ,29830,0.000,2.987
[22:14:21] ,29840,-0.002,2.988
[22:14:21] ,29850,0.000,2.991
[22:14:21] ,29860,0.000,2.993
[22:14:21] ,29870,0.000,2.994
[22:14:21] ,29880,0.000,2.997
[22:14:21] ,29890,0.000,3.000
[22:14:21] ,29900,-0.002,3.004
[22:14:21] ,29910,-0.002,3.007
[22:14:21] ,29920,-0.002,3.010
[22:14:21] ,29930,0.000,3.014
[22:14:21] ,29940,0.000,3.017
[22:14:21] ,29950,0.000,3.022
[22:14:21] ,29960,0.000,3.027
[22:14:21] ,29970,-0.002,3.031
[22:14:21] ,29980,-0.002,3.036
[22:14:21] ,29990,-0.002,3.040
[22:14:21] ,30000,0.000,3.046
[22:14:21] ,30010,0.000,3.051
[22:14:21] ,30020,0.000,3.057
[22:14:21] ,30030,0.000,3.062
[22:14:21] ,30040,-0.002,3.068
[22:14:21] ,30050,-0.002,3.076
[22:14:21] ,30060,-0.002,3.082
[22:14:21] ,30070,-0.002,3.088
[22:14:21] ,30080,0.000,3.096
[22:14:21] ,30090,0.000,3.103
[22:14:21] ,30100,0.000,3.111
[22:14:21] ,30110,0.000,3.119
[22:14:21] ,30120,-0.002,3.128
[22:14:21] ,30130,-0.002,3.135
[22:14:21] ,30140,-0.002,3.145
[22:14:21] ,30150,-0.002,3.152
[22:14:21] ,30160,0.000,3.163
[22:14:21] ,30170,0.000,3.172
[22:14:21] ,30180,0.000,3.181
[22:14:21] ,30190,0.000,3.191
[22:14:21] ,30200,-0.002,3.200
[22:14:21] ,30210,-0.002,3.211
[22:14:21] ,30220,-0.002,3.221
[22:14:21] ,30230,-0.002,3.232
[22:14:21] ,30240,-0.002,3.241
[22:14:21] ,30250,0.000,3.252
[22:14:21] ,30260,0.000,3.264
[22:14:21] ,30270,0.000,3.274
[22:14:21] ,30280,0.000,3.286
[22:14:21] ,30290,-0.002,3.297
[22:14:21] ,30300,-0.002,3.307
[22:14:21] ,30310,-0.002,3.320
[22:14:21] ,30320,0.000,3.332
[22:14:21] ,30330,0.000,3.344
[22:14:21] ,30340,0.000,3.355
[22:14:21] ,30350,0.000,3.369
[22:14:21] ,30360,0.000,3.381
[22:14:21] ,30370,-0.002,3.392
[22:14:21] ,30380,-0.002,3.407
[22:14:21] ,30390,-0.002,3.419
[22:14:21] ,30400,-0.002,3.433
[22:14:21] ,30410,0.000,3.445
[22:14:21] ,30420,0.000,3.459
[22:14:21] ,30430,0.000,3.473
[22:14:21] ,30440,0.000,3.485
[22:14:21] ,30450,0.000,3.501
[22:14:21] ,30460,-0.002,3.513
[22:14:21] ,30470,-0.002,3.528
[22:14:21] ,30480,-0.002,3.542
[22:14:21] ,30490,0.000,3.556
[22:14:21] ,30500,0.000,3.571
[22:14:21] ,30510,0.000,3.585
[22:14:21] ,30520,0.000,3.600
[22:14:21] ,30530,0.000,3.614
[22:14:21] ,30540,-0.002,3.629
[22:14:21] ,30550,-0.002,3.645
[22:14:21] ,30560,-0.002,3.659
[22:14:21] ,30570,-0.002,3.675
[22:14:21] ,30580,0.000,3.689
[22:14:21] ,30590,0.000,3.706
[22:14:21] ,30600,0.000,3.720
[22:14:21] ,30610,0.000,3.737
[22:14:21] ,30620,-0.002,3.752
[22:14:21] ,30630,-0.002,3.766
[22:14:21] ,30640,-0.002,3.783
[22:14:21] ,30650,0.000,3.798
[22:14:21] ,30660,0.000,3.817
[22:14:21] ,30670,0.000,3.830
[22:14:21] ,30680,0.000,3.846
[22:14:21] ,30690,0.000,3.864
[22:14:21] ,30700,0.000,3.878
[22:14:21] ,30710,0.000,3.896
[22:14:21] ,30720,0.000,3.912
[22:14:21] ,30730,0.000,3.929
[22:14:21] ,30740,0.000,3.944
[22:14:21] ,30750,0.000,3.959
[22:14:21] ,30760,0.000,3.976
[22:14:21] ,30770,0.000,3.990
[22:14:21] ,30780,0.000,4.007
[22:14:21] ,30790,0.000,4.021
[22:14:21] ,30800,0.000,4.037
[22:14:21] ,30810,0.000,4.051
[22:14:21] ,30820,0.000,4.065
[22:14:21] ,30830,0.002,4.080
[22:14:21] ,30840,0.002,4.093
[22:14:21] ,30850,0.002,4.108
[22:14:21] ,30860,0.002,4.120
[22:14:21] ,30870,0.000,4.131
[22:14:21] ,30880,0.000,4.145
[22:14:21] ,30890,0.000,4.156
[22:14:21] ,30900,0.000,4.168
[22:14:21] ,30910,0.000,4.177
[22:14:21] ,30920,0.002,4.188
