[17:40:46] ,59710,0.000,2.749
[17:40:46] ,59720,0.000,2.749
[17:40:46] ,59730,0.000,2.749
[17:40:46] ,59740,0.000,2.749
[17:40:46] ,59750,0.000,2.749
[17:40:46] ,59760,0.002,2.749
[17:40:46] ,59770,0.003,2.749
[17:40:46] ,59780,0.006,2.749
[17:40:46] ,59790,0.011,2.749
[17:40:46] ,59800,0.017,2.749
[17:40:46] ,59810,0.026,2.749
[17:40:46] ,59820,0.037,2.747
[17:40:46] ,59830,0.052,2.749
[17:40:46] ,59840,0.069,2.747
[17:40:46] ,59850,0.087,2.747
[17:40:46] ,59860,0.112,2.747
[17:40:46] ,59870,0.137,2.747
[17:40:46] ,59880,0.167,2.747
[17:40:46] ,59890,0.195,2.747
[17:40:46] ,59900,0.230,2.747
[17:40:46] ,59910,0.262,2.747
[17:40:46] ,59920,0.296,2.747
[17:40:46] ,59930,0.336,2.747
[17:40:46] ,59940,0.373,2.747
[17:40:46] ,59950,0.414,2.747
[17:40:46] ,59960,0.453,2.747
[17:40:46] ,59970,0.492,2.747
[17:40:46] ,59980,0.538,2.747
[17:40:46] ,59990,0.577,2.747
[17:40:46] ,60000,0.623,2.749
[17:40:46] ,60010,0.663,2.749
[17:40:46] ,60020,0.703,2.749
[17:40:46] ,60030,0.746,2.749
[17:40:46] ,60040,0.782,2.750
[17:40:46] ,60050,0.824,2.750
[17:40:46] ,60060,0.857,2.750
[17:40:46] ,60070,0.893,2.752
[17:40:46] ,60080,0.923,2.752
[17:40:46] ,60090,0.951,2.752
[17:40:46] ,60100,0.979,2.753
[17:40:46] ,60110,1.002,2.753
[17:40:46] ,60120,1.025,2.753
[17:40:46] ,60130,1.040,2.753
[17:40:46] ,60140,1.054,2.755
[17:40:46] ,60150,1.066,2.755
[17:40:46] ,60160,1.072,2.755
[17:40:46] ,60170,1.077,2.755
[17:40:46] ,60180,1.080,2.755
[17:40:46] ,60190,1.080,2.755
[17:40:46] ,60200,1.078,2.753
[17:40:46] ,60210,1.075,2.753
[17:40:46] ,60220,1.072,2.752
[17:40:46] ,60230,1.068,2.752
[17:40:46] ,60240,1.063,2.750
[17:40:46] ,60250,1.060,2.750
[17:40:46] ,60260,1.055,2.749
[17:40:46] ,60270,1.051,2.747
[17:40:46] ,60280,1.048,2.747
[17:40:46] ,60290,1.043,2.746
[17:40:46] ,60300,1.040,2.746
[17:40:46] ,60310,1.037,2.744
[17:40:46] ,60320,1.034,2.744
[17:40:46] ,60330,1.032,2.744
[17:40:46] ,60340,1.029,2.744
