[17:46:33] ,58910,0.000,2.749
[17:46:33] ,58920,0.000,2.749
[17:46:33] ,58930,0.000,2.749
[17:46:33] ,58940,0.000,2.749
[17:46:33] ,58950,0.000,2.749
[17:46:33] ,58960,0.002,2.749
[17:46:33] ,58970,0.003,2.749
[17:46:33] ,58980,0.006,2.749
[17:46:33] ,58990,0.012,2.749
[17:46:33] ,59000,0.018,2.749
[17:46:33] ,59010,0.028,2.749
[17:46:33] ,59020,0.038,2.749
[17:46:33] ,59030,0.052,2.749
[17:46:33] ,59040,0.071,2.747
[17:46:33] ,59050,0.091,2.747
[17:46:33] ,59060,0.115,2.747
[17:46:33] ,59070,0.140,2.747
[17:46:33] ,59080,0.166,2.747
[17:46:33] ,59090,0.199,2.747
[17:46:33] ,59100,0.230,2.747
[17:46:33] ,59110,0.267,2.747
[17:46:33] ,59120,0.301,2.747
[17:46:33] ,59130,0.336,2.747
[17:46:33] ,59140,0.377,2.747
[17:46:33] ,59150,0.413,2.747
[17:46:33] ,59160,0.456,2.747
[17:46:33] ,59170,0.492,2.747
[17:46:33] ,59180,0.534,2.747
[17:46:33] ,59190,0.568,2.749
[17:46:33] ,59200,0.601,2.749
[17:46:33] ,59210,0.640,2.749
[17:46:33] ,59220,0.670,2.749
[17:46:33] ,59230,0.703,2.750
[17:46:33] ,59240,0.729,2.750
[17:46:33] ,59250,0.753,2.752
[17:46:33] ,59260,0.778,2.752
[17:46:33] ,59270,0.796,2.753
[17:46:33] ,59280,0.815,2.753
[17:46:33] ,59290,0.828,2.753
[17:46:33] ,59300,0.842,2.755
[17:46:33] ,59310,0.853,2.755
[17:46:33] ,59320,0.862,2.755
[17:46:33] ,59330,0.873,2.753
[17:46:33] ,59340,0.879,2.753
[17:46:33] ,59350,0.887,2.753
[17:46:33] ,59360,0.894,2.753
[17:46:33] ,59370,0.900,2.752
[17:46:33] ,59380,0.907,2.752
[17:46:33] ,59390,0.913,2.750
[17:46:33] ,59400,0.917,2.750
[17:46:33] ,59410,0.922,2.749
