[16:47:40] ,328110,0.098,2.715
[16:47:40] ,328120,0.098,2.715
[16:47:40] ,328130,0.098,2.715
[16:47:40] ,328140,0.098,2.715
[16:47:40] ,328150,0.098,2.715
[16:47:40] ,328160,0.100,2.715
[16:47:40] ,328170,0.101,2.717
[16:47:40] ,328180,0.103,2.717
[16:47:40] ,328190,0.106,2.717
[16:47:40] ,328200,0.110,2.717
[16:47:40] ,328210,0.118,2.717
[16:47:40] ,328220,0.127,2.717
[16:47:40] ,328230,0.140,2.717
[16:47:40] ,328240,0.152,2.717
[16:47:40] ,328250,0.167,2.717
[16:47:40] ,328260,0.181,2.717
[16:47:40] ,328270,0.195,2.717
[16:47:40] ,328280,0.210,2.717
[16:47:40] ,328290,0.224,2.717
[16:47:40] ,328300,0.238,2.718
[16:47:40] ,328310,0.249,2.718
[16:47:40] ,328320,0.259,2.718
[16:47:40] ,328330,0.268,2.718
[16:47:40] ,328340,0.275,2.720
[16:47:40] ,328350,0.278,2.720
[16:47:40] ,328360,0.281,2.720
[16:47:40] ,328370,0.282,2.720
[16:47:40] ,328380,0.282,2.720
[16:47:40] ,328390,0.282,2.720
[16:47:40] ,328400,0.282,2.720
[16:47:40] ,328410,0.284,2.720
[16:47:40] ,328420,0.285,2.718
[16:47:40] ,328430,0.287,2.718
[16:47:40] ,328440,0.290,2.718
[16:47:40] ,328450,0.296,2.717
[16:47:40] ,328460,0.302,2.717
[16:47:40] ,328470,0.311,2.717
[16:47:40] ,328480,0.321,2.717
[16:47:40] ,328490,0.331,2.717
[16:47:40] ,328500,0.344,2.715
[16:47:40] ,328510,0.356,2.715
[16:47:40] ,328520,0.368,2.715
[16:47:40] ,328530,0.379,2.715
[16:47:40] ,328540,0.388,2.715
[16:47:40] ,328550,0.397,2.715
[16:47:40] ,328560,0.405,2.715
[16:47:40] ,328570,0.410,2.717
[16:47:40] ,328580,0.413,2.717
[16:47:40] ,328590,0.416,2.717
[16:47:40] ,328600,0.417,2.717
[16:47:40] ,328610,0.417,2.717
[16:47:40] ,328620,0.417,2.718
[16:47:40] ,328630,0.417,2.718
[16:47:40] ,328640,0.419,2.718
[16:47:40] ,328650,0.420,2.717
[16:47:40] ,328660,0.423,2.717
[16:47:40] ,328670,0.428,2.717
[16:47:40] ,328680,0.434,2.717
[16:47:40] ,328690,0.442,2.715
[16:47:40] ,328700,0.451,2.715
[16:47:40] ,328710,0.460,2.715
[16:47:40] ,328720,0.469,2.715
[16:47:40] ,328730,0.479,2.715
[16:47:40] ,328740,0.488,2.715
[16:47:40] ,328750,0.494,2.715
[16:47:40] ,328760,0.500,2.715
[16:47:40] ,328770,0.505,2.715
[16:47:40] ,328780,0.508,2.715
[16:47:40] ,328790,0.509,2.717
[16:47:40] ,328800,0.508,2.717
[16:47:40] ,328810,0.506,2.717
[16:47:40] ,328820,0.506,2.717
[16:47:40] ,328830,0.506,2.718
[16:47:40] ,328840,0.508,2.718
[16:47:40] ,328850,0.509,2.718
[16:47:40] ,328860,0.512,2.718
[16:47:40] ,328870,0.515,2.717
[16:47:40] ,328880,0.522,2.717
[16:47:40] ,328890,0.528,2.717
[16:47:40] ,328900,0.534,2.717
[16:47:40] ,328910,0.541,2.717
[16:47:40] ,328920,0.548,2.717
[16:47:40] ,328930,0.554,2.715
[16:47:40] ,328940,0.560,2.715
[16:47:40] ,328950,0.563,2.717
[16:47:40] ,328960,0.566,2.717
[16:47:40] ,328970,0.569,2.717
[16:47:40] ,328980,0.571,2.717
[16:47:40] ,328990,0.571,2.717
[16:47:40] ,329000,0.571,2.717
[16:47:40] ,329010,0.572,2.718
[16:47:40] ,329020,0.572,2.718
[16:47:40] ,329030,0.575,2.718
[16:47:40] ,329040,0.578,2.718
[16:47:40] ,329050,0.583,2.718
[16:47:40] ,329060,0.589,2.717
[16:47:40] ,329070,0.595,2.717
[16:47:40] ,329080,0.603,2.717
[16:47:40] ,329090,0.609,2.717
[16:47:40] ,329100,0.617,2.717
[16:47:40] ,329110,0.621,2.717
[16:47:40] ,329120,0.626,2.717
[16:47:40] ,329130,0.629,2.717
[16:47:40] ,329140,0.630,2.717
[16:47:40] ,329150,0.632,2.717
[16:47:40] ,329160,0.632,2.717
[16:47:40] ,329170,0.632,2.717
[16:47:40] ,329180,0.632,2.717
[16:47:40] ,329190,0.632,2.717
[16:47:40] ,329200,0.635,2.717
[16:47:40] ,329210,0.638,2.717
[16:47:40] ,329220,0.641,2.717
[16:47:40] ,329230,0.646,2.717
[16:47:40] ,329240,0.652,2.715
[16:47:40] ,329250,0.658,2.715
[16:47:40] ,329260,0.663,2.715
[16:47:40] ,329270,0.669,2.715
[16:47:40] ,329280,0.673,2.715
[16:47:40] ,329290,0.676,2.715
[16:47:40] ,329300,0.680,2.715
[16:47:40] ,329310,0.681,2.715
[16:47:40] ,329320,0.681,2.717
[16:47:40] ,329330,0.681,2.717
[16:47:40] ,329340,0.681,2.717
[16:47:40] ,329350,0.681,2.717
[16:47:40] ,329360,0.683,2.717
[16:47:40] ,329370,0.684,2.717
[16:47:40] ,329380,0.687,2.717
[16:47:40] ,329390,0.692,2.717
[16:47:40] ,329400,0.696,2.717
[16:47:40] ,329410,0.701,2.715
[16:47:40] ,329420,0.706,2.717
[16:47:40] ,329430,0.709,2.717
[16:47:40] ,329440,0.712,2.717
[16:47:40] ,329450,0.715,2.717
[16:47:40] ,329460,0.716,2.717
[16:47:40] ,329470,0.718,2.717
[16:47:40] ,329480,0.718,2.717
[16:47:40] ,329490,0.718,2.717
[16:47:40] ,329500,0.719,2.717
[16:47:40] ,329510,0.719,2.717
[16:47:40] ,329520,0.723,2.717
[16:47:40] ,329530,0.724,2.717
[16:47:40] ,329540,0.727,2.717
[16:47:40] ,329550,0.730,2.717
[16:47:40] ,329560,0.735,2.717
[16:47:40] ,329570,0.739,2.717
[16:47:40] ,329580,0.742,2.717
[16:47:40] ,329590,0.746,2.717
[16:47:40] ,329600,0.749,2.717
[16:47:40] ,329610,0.749,2.717
[16:47:40] ,329620,0.750,2.717
[16:47:40] ,329630,0.750,2.717
[16:47:40] ,329640,0.750,2.717
[16:47:40] ,329650,0.750,2.717
[16:47:40] ,329660,0.750,2.717
[16:47:40] ,329670,0.752,2.717
[16:47:40] ,329680,0.753,2.717
[16:47:40] ,329690,0.756,2.717
[16:47:40] ,329700,0.759,2.715
[16:47:40] ,329710,0.761,2.715
[16:47:40] ,329720,0.764,2.715
[16:47:40] ,329730,0.765,2.715
[16:47:40] ,329740,0.769,2.715
[16:47:40] ,329750,0.769,2.715
[16:47:40] ,329760,0.770,2.715
[16:47:40] ,329770,0.772,2.715
[16:47:40] ,329780,0.772,2.715
[16:47:40] ,329790,0.772,2.717
[16:47:40] ,329800,0.772,2.717
