System Current (A)_x,System Current (A)_y,System Voltage (V)_x,System Voltage (V)_y,3.3V Current (A)_x,3.3V Current (A)_y,5V Current (A)_x,5V Current (A)_y,12V Current (A)_x,12V Current (A)_y
14.8245258331,0.,14.8245258331,15.445,14.8245258331,29.548,14.8245258331,5.372,14.8245258331,5.372
14.8248987198,0.,14.8248987198,15.505,14.8248987198,32.234,14.8248987198,5.372,14.8248987198,8.059
14.8631780148,0.,14.8631780148,15.49,14.8631780148,34.921,14.8631780148,2.686,14.8631780148,8.059
14.8637299538,0.,14.8637299538,15.408,14.8637299538,80.586,14.8637299538,5.372,14.8637299538,8.059
14.8641390800,0.,14.8641390800,15.527,14.8641390800,48.352,14.8641390800,8.059,14.8641390800,8.059
14.8645157814,0.,14.8645157814,15.4,14.8645157814,72.527,14.8645157814,5.372,14.8645157814,5.372
14.9033846855,0.,14.9033846855,15.512,14.9033846855,42.979,14.9033846855,5.372,14.9033846855,8.059
14.9039158821,0.,14.9039158821,15.445,14.9039158821,26.862,14.9039158821,5.372,14.9039158821,10.745
14.9043037891,0.,14.9043037891,15.549,14.9043037891,48.352,14.9043037891,5.372,14.9043037891,16.117
14.9046778679,0.,14.9046778679,15.453,14.9046778679,26.862,14.9046778679,5.372,14.9046778679,5.372
14.9435729980,0.,14.9435729980,15.505,14.9435729980,51.038,14.9435729980,8.059,14.9435729980,5.372
14.9441406727,0.,14.9441406727,15.43,14.9441406727,34.921,14.9441406727,5.372,14.9441406727,5.372
14.9445278645,0.,14.9445278645,15.542,14.9445278645,42.979,14.9445278645,5.372,14.9445278645,8.059
14.9449019432,0.,14.9449019432,15.49,14.9449019432,34.921,14.9449019432,5.372,14.9449019432,5.372
14.9832909107,0.,14.9832909107,15.423,14.9832909107,59.096,14.9832909107,8.059,14.9832909107,2.686
14.9837770462,0.,14.9837770462,15.505,14.9837770462,45.665,14.9837770462,5.372,14.9837770462,8.059
14.9841489792,0.,14.9841489792,15.527,14.9841489792,48.352,14.9841489792,5.372,14.9841489792,5.372
14.9845187664,0.,14.9845187664,15.423,14.9845187664,104.762,14.9845187664,8.059,14.9845187664,5.372
15.0234906673,0.,15.0234906673,15.542,15.0234906673,110.134,15.0234906673,5.372,15.0234906673,8.059
15.0240199566,0.,15.0240199566,15.467,15.0240199566,37.607,15.0240199566,5.372,15.0240199566,8.059
15.0244028568,0.,15.0244028568,15.43,15.0244028568,34.921,15.0244028568,10.745,15.0244028568,8.059
15.0248000622,0.,15.0248000622,15.564,15.0248000622,128.938,15.0248000622,0.,15.0248000622,5.372
15.0635857582,0.,15.0635857582,15.43,15.0635857582,34.921,15.0635857582,5.372,15.0635857582,8.059
15.0641198158,0.,15.0641198158,15.371,15.0641198158,110.134,15.0641198158,5.372,15.0641198158,8.059
15.0645020008,0.,15.0645020008,15.527,15.0645020008,51.038,15.0645020008,5.372,15.0645020008,8.059
15.0648787022,0.,15.0648787022,15.482,15.0648787022,34.921,15.0648787022,5.372,15.0648787022,13.431
15.1034319401,0.,15.1034319401,15.46,15.1034319401,29.548,15.1034319401,5.372,15.1034319401,8.059
15.1039578915,0.,15.1039578915,15.408,15.1039578915,48.352,15.1039578915,5.372,15.1039578915,10.745
15.1043398380,0.,15.1043398380,15.527,15.1043398380,45.665,15.1043398380,5.372,15.1043398380,8.059
15.1047148705,0.,15.1047148705,15.438,15.1047148705,34.921,15.1047148705,8.059,15.1047148705,10.745
15.1435897350,0.,15.1435897350,15.393,15.1435897350,85.958,15.1435897350,5.372,15.1435897350,8.059
15.1441197395,0.,15.1441197395,15.505,15.1441197395,42.979,15.1441197395,5.372,15.1441197395,5.372
