Top Pos_x,Top Pos_y,Bottom Pos_x,Bottom Pos_y
1.75,0.012,1.75,-0.002
1.76,0.011,1.76,-0.002
1.7700000000,0.011,1.7700000000,-0.002
1.7800000000,0.011,1.7800000000,-0.002
1.79,0.011,1.79,-0.002
1.8,0.012,1.8,-0.002
1.8100000000,0.012,1.8100000000,-0.002
1.82,0.012,1.82,-0.002
1.83,0.012,1.83,-0.002
1.8400000000,0.012,1.8400000000,0.
1.85,0.011,1.85,-0.002
1.86,0.011,1.86,0.
1.8700000000,0.011,1.8700000000,-0.002
1.88,0.012,1.88,-0.002
1.89,0.012,1.89,-0.002
1.9000000000,0.012,1.9000000000,-0.002
1.91,0.012,1.91,-0.002
1.92,0.012,1.92,-0.002
1.9300000000,0.011,1.9300000000,-0.002
1.94,0.011,1.94,-0.002
1.95,0.011,1.95,-0.002
1.9600000000,0.012,1.9600000000,-0.002
1.97,0.012,1.97,-0.002
1.98,0.012,1.98,-0.002
1.9900000000,0.012,1.9900000000,-0.002
2.,0.011,2.,-0.002
2.01,0.011,2.01,-0.002
2.0200000000,0.011,2.0200000000,-0.002
2.0300000000,0.011,2.0300000000,-0.002
2.04,0.012,2.04,-0.002
2.05,0.012,2.05,-0.002
2.0600000000,0.011,2.0600000000,0.
2.07,0.011,2.07,0.
2.08,0.011,2.08,0.
2.0900000000,0.011,2.0900000000,0.
2.1,0.011,2.1,0.
2.11,0.011,2.11,-0.002
2.1200000000,0.011,2.1200000000,-0.002
2.13,0.011,2.13,0.
2.14,0.011,2.14,0.
2.1500000000,0.011,2.1500000000,0.
2.16,0.011,2.16,0.
2.17,0.011,2.17,0.
2.1800000000,0.012,2.1800000000,0.
2.19,0.011,2.19,0.
2.2,0.011,2.2,0.
2.2100000000,0.011,2.2100000000,0.
2.22,0.011,2.22,0.
2.23,0.011,2.23,0.
2.2400000000,0.012,2.2400000000,0.
2.25,0.011,2.25,0.
2.26,0.012,2.26,0.
2.2700000000,0.011,2.2700000000,-0.002
2.2800000000,0.011,2.2800000000,0.
2.29,0.011,2.29,-0.002
2.3,0.011,2.3,-0.002
2.3100000000,0.011,2.3100000000,0.
2.32,0.011,2.32,0.
2.33,0.012,2.33,0.
2.3400000000,0.012,2.3400000000,0.
2.35,0.012,2.35,0.
2.36,0.011,2.36,0.
2.3700000000,0.011,2.3700000000,-0.002
2.38,0.011,2.38,0.
2.39,0.011,2.39,0.
2.4000000000,0.011,2.4000000000,0.
2.41,0.011,2.41,0.
2.42,0.012,2.42,0.
2.4300000000,0.012,2.4300000000,0.
2.44,0.012,2.44,0.
2.45,0.011,2.45,0.
2.4600000000,0.011,2.4600000000,0.
2.47,0.011,2.47,0.
2.48,0.011,2.48,0.
2.4900000000,0.012,2.4900000000,-0.002
2.5,0.011,2.5,0.
2.51,0.011,2.51,0.
2.5200000000,0.011,2.5200000000,0.
2.5300000000,0.011,2.5300000000,0.
2.54,0.011,2.54,0.
2.55,0.011,2.55,0.
2.5600000000,0.011,2.5600000000,0.
2.57,0.012,2.57,0.
2.58,0.012,2.58,0.
2.5900000000,0.011,2.5900000000,0.
2.6,0.011,2.6,0.
2.61,0.011,2.61,0.
2.6200000000,0.011,2.6200000000,0.
2.63,0.011,2.63,0.
2.64,0.011,2.64,0.
2.6500000000,0.011,2.6500000000,0.
2.66,0.011,2.66,0.
2.67,0.012,2.67,0.
2.6800000000,0.011,2.6800000000,0.
2.69,0.012,2.69,0.
2.7,0.011,2.7,0.
2.7100000000,0.012,2.7100000000,-0.002
2.72,0.011,2.72,-0.002
2.73,0.012,2.73,-0.002
2.7400000000,0.011,2.7400000000,-0.002
2.75,0.012,2.75,0.
2.76,0.011,2.76,-0.002
2.7700000000,0.011,2.7700000000,-0.002
2.7800000000,0.011,2.7800000000,0.
2.79,0.011,2.79,-0.002
2.8,0.012,2.8,-0.002
2.8100000000,0.012,2.8100000000,-0.002
2.82,0.012,2.82,-0.002
2.83,0.012,2.83,-0.002
2.8400000000,0.011,2.8400000000,-0.002
2.85,0.011,2.85,-0.002
2.86,0.011,2.86,-0.002
2.8700000000,0.012,2.8700000000,-0.002
2.88,0.012,2.88,-0.002
2.89,0.012,2.89,-0.002
2.9000000000,0.012,2.9000000000,-0.002
2.91,0.012,2.91,-0.002
2.92,0.011,2.92,-0.002
2.9300000000,0.011,2.9300000000,-0.002
2.94,0.011,2.94,-0.002
2.95,0.011,2.95,-0.002
2.9600000000,0.012,2.9600000000,-0.002
2.97,0.012,2.97,-0.002
2.98,0.011,2.98,-0.002
2.9900000000,0.011,2.9900000000,0.
3.,0.011,3.,0.
3.01,0.011,3.01,0.
3.0200000000,0.011,3.0200000000,-0.002
3.0300000000,0.011,3.0300000000,-0.002
3.04,0.011,3.04,-0.002
3.05,0.011,3.05,0.
3.0600000000,0.012,3.0600000000,0.
3.07,0.012,3.07,0.
3.08,0.012,3.08,0.
3.0900000000,0.011,3.0900000000,-0.002
3.1,0.012,3.1,-0.002
3.11,0.011,3.11,0.
3.1200000000,0.012,3.1200000000,-0.002
3.13,0.012,3.13,0.
3.14,0.012,3.14,0.
3.1500000000,0.012,3.1500000000,0.
3.16,0.012,3.16,0.
3.17,0.011,3.17,0.
3.1800000000,0.011,3.1800000000,0.
3.19,0.011,3.19,0.
3.2,0.012,3.2,0.
3.2100000000,0.012,3.2100000000,-0.002
3.22,0.012,3.22,0.
3.23,0.012,3.23,-0.002
3.2400000000,0.012,3.2400000000,0.
3.25,0.012,3.25,0.
3.26,0.011,3.26,0.
3.2700000000,0.011,3.2700000000,0.
3.2800000000,0.011,3.2800000000,0.
3.29,0.011,3.29,0.
3.3,0.011,3.3,-0.002
3.3100000000,0.012,3.3100000000,0.
3.32,0.012,3.32,0.
3.33,0.012,3.33,0.
3.3400000000,0.012,3.3400000000,0.
3.35,0.011,3.35,0.
3.36,0.011,3.36,-0.002
3.3700000000,0.011,3.3700000000,0.
3.38,0.011,3.38,0.
3.39,0.011,3.39,0.
3.4000000000,0.012,3.4000000000,0.
3.41,0.012,3.41,0.
3.42,0.011,3.42,0.
3.4300000000,0.011,3.4300000000,0.
3.44,0.011,3.44,0.
3.45,0.011,3.45,0.
3.4600000000,0.011,3.4600000000,0.
3.47,0.012,3.47,0.
3.48,0.011,3.48,0.
3.4900000000,0.012,3.4900000000,0.
3.5,0.011,3.5,0.
3.51,0.011,3.51,-0.002
3.5200000000,0.011,3.5200000000,-0.002
3.5300000000,0.011,3.5300000000,-0.002
3.54,0.011,3.54,-0.002
3.55,0.011,3.55,-0.002
3.5600000000,0.012,3.5600000000,-0.002
3.57,0.011,3.57,-0.002
3.58,0.012,3.58,-0.002
3.5900000000,0.012,3.5900000000,-0.002
3.6,0.012,3.6,0.
3.61,0.012,3.61,0.
3.6200000000,0.011,3.6200000000,-0.002
3.63,0.011,3.63,-0.002
3.64,0.012,3.64,-0.002
3.6500000000,0.012,3.6500000000,-0.002
3.66,0.012,3.66,-0.002
3.67,0.012,3.67,-0.002
3.6800000000,0.012,3.6800000000,-0.002
3.69,0.012,3.69,-0.002
3.7,0.012,3.7,0.
3.7100000000,0.012,3.7100000000,0.
3.72,0.011,3.72,0.
3.73,0.011,3.73,-0.002
3.7400000000,0.011,3.7400000000,-0.002
3.75,0.012,3.75,-0.002
3.76,0.012,3.76,-0.002
3.7700000000,0.012,3.7700000000,-0.002
3.7800000000,0.012,3.7800000000,-0.002
3.79,0.012,3.79,-0.002
3.8,0.012,3.8,-0.002
3.8100000000,0.011,3.8100000000,-0.002
3.82,0.011,3.82,-0.002
3.83,0.011,3.83,-0.002
3.8400000000,0.011,3.8400000000,-0.002
3.85,0.012,3.85,-0.002
3.86,0.012,3.86,-0.002
3.8700000000,0.012,3.8700000000,-0.002
3.88,0.011,3.88,-0.002
3.89,0.011,3.89,-0.002
3.9000000000,0.011,3.9000000000,-0.002
3.91,0.011,3.91,-0.002
3.92,0.011,3.92,-0.002
3.9300000000,0.012,3.9300000000,-0.002
3.94,0.012,3.94,-0.002
3.95,0.012,3.95,-0.002
3.9600000000,0.012,3.9600000000,-0.002
3.97,0.011,3.97,-0.002
3.98,0.011,3.98,-0.002
3.9900000000,0.011,3.9900000000,-0.002
4.,0.012,4.,-0.002
4.01,0.012,4.01,-0.002
4.0200000000,0.012,4.0200000000,-0.002
4.0300000000,0.012,4.0300000000,-0.002
4.04,0.012,4.04,-0.002
4.05,0.011,4.05,0.
4.0600000000,0.011,4.0600000000,-0.002
4.07,0.011,4.07,-0.002
4.08,0.011,4.08,-0.002
4.0900000000,0.012,4.0900000000,-0.002
4.1,0.012,4.1,-0.002
4.11,0.012,4.11,-0.002
4.1200000000,0.012,4.1200000000,-0.002
4.13,0.011,4.13,-0.002
4.14,0.011,4.14,-0.002
4.1500000000,0.011,4.1500000000,-0.002
4.16,0.012,4.16,-0.002
4.17,0.012,4.17,-0.002
4.1800000000,0.012,4.1800000000,-0.002
4.19,0.012,4.19,-0.002
4.2,0.012,4.2,-0.002
4.2100000000,0.012,4.2100000000,0.
4.22,0.011,4.22,-0.002
4.23,0.011,4.23,-0.002
4.2400000000,0.011,4.2400000000,-0.002
4.25,0.011,4.25,-0.002
4.26,0.011,4.26,-0.002
4.2700000000,0.011,4.2700000000,-0.002
4.2800000000,0.011,4.2800000000,-0.002
4.29,0.012,4.29,-0.002
4.3,0.012,4.3,-0.002
4.3100000000,0.011,4.3100000000,-0.002
4.32,0.011,4.32,-0.002
4.33,0.011,4.33,-0.002
4.3400000000,0.011,4.3400000000,-0.002
4.35,0.012,4.35,-0.002
4.36,0.012,4.36,-0.002
4.3700000000,0.012,4.3700000000,-0.002
4.38,0.012,4.38,-0.002
4.39,0.011,4.39,-0.002
4.4000000000,0.011,4.4000000000,-0.002
4.41,0.011,4.41,-0.002
4.42,0.012,4.42,-0.002
4.4300000000,0.012,4.4300000000,-0.002
4.44,0.012,4.44,-0.002
4.45,0.012,4.45,-0.002
4.4600000000,0.012,4.4600000000,0.
4.47,0.011,4.47,0.
4.48,0.011,4.48,-0.002
4.4900000000,0.011,4.4900000000,-0.002
4.5,0.011,4.5,-0.002
4.51,0.012,4.51,-0.002
4.5200000000,0.012,4.5200000000,-0.002
4.5300000000,0.012,4.5300000000,-0.002
4.54,0.012,4.54,0.
4.55,0.011,4.55,-0.002
4.5600000000,0.011,4.5600000000,0.
4.57,0.011,4.57,-0.002
4.58,0.011,4.58,0.
4.5900000000,0.012,4.5900000000,-0.002
4.6,0.011,4.6,-0.002
4.61,0.012,4.61,-0.002
4.6200000000,0.011,4.6200000000,-0.002
4.63,0.012,4.63,-0.002
4.64,0.012,4.64,-0.002
4.6500000000,0.012,4.6500000000,-0.002
4.66,0.012,4.66,-0.002
4.67,0.012,4.67,-0.002
4.6800000000,0.012,4.6800000000,-0.002
4.69,0.011,4.69,-0.002
4.7,0.011,4.7,-0.002
4.7100000000,0.011,4.7100000000,-0.002
4.72,0.011,4.72,-0.002
4.73,0.011,4.73,-0.002
4.7400000000,0.011,4.7400000000,-0.002
4.75,0.011,4.75,-0.002
4.76,0.011,4.76,0.
4.7700000000,0.011,4.7700000000,-0.002
4.7800000000,0.012,4.7800000000,-0.002
4.79,0.011,4.79,-0.002
4.8,0.011,4.8,-0.002
4.8100000000,0.011,4.8100000000,-0.002
4.82,0.011,4.82,0.
4.83,0.011,4.83,-0.002
4.8400000000,0.012,4.8400000000,-0.002
4.85,0.011,4.85,0.
4.86,0.011,4.86,-0.002
4.8700000000,0.011,4.8700000000,-0.002
4.88,0.011,4.88,-0.002
4.89,0.011,4.89,-0.002
4.9000000000,0.011,4.9000000000,-0.002
4.91,0.012,4.91,-0.002
4.92,0.011,4.92,-0.002
4.9300000000,0.011,4.9300000000,-0.002
4.94,0.011,4.94,-0.002
4.95,0.011,4.95,-0.002
4.9600000000,0.011,4.9600000000,-0.002
4.97,0.012,4.97,-0.002
4.98,0.011,4.98,-0.002
4.9900000000,0.012,4.9900000000,-0.002
5.,0.011,5.,-0.002
5.01,0.011,5.01,-0.002
5.0200000000,0.011,5.0200000000,0.
5.0300000000,0.011,5.0300000000,0.
5.04,0.012,5.04,0.
5.05,0.011,5.05,0.
5.0600000000,0.011,5.0600000000,0.
5.07,0.011,5.07,0.
5.08,0.011,5.08,-0.002
5.0900000000,0.011,5.0900000000,0.
5.1,0.012,5.1,-0.002
5.11,0.012,5.11,0.
5.1200000000,0.012,5.1200000000,-0.002
5.13,0.011,5.13,0.
5.14,0.011,5.14,0.
5.1500000000,0.012,5.1500000000,-0.002
5.16,0.011,5.16,0.
5.17,0.011,5.17,-0.002
5.1800000000,0.011,5.1800000000,-0.002
5.19,0.011,5.19,0.
5.2,0.012,5.2,0.
5.2100000000,0.012,5.2100000000,0.
5.22,0.012,5.22,0.
5.23,0.012,5.23,0.
5.2400000000,0.011,5.2400000000,0.
5.25,0.011,5.25,0.
5.26,0.011,5.26,0.
5.2700000000,0.011,5.2700000000,-0.002
5.2800000000,0.011,5.2800000000,-0.002
5.29,0.012,5.29,0.
5.3,0.012,5.3,0.
5.3100000000,0.012,5.3100000000,0.
5.32,0.011,5.32,0.
5.33,0.011,5.33,0.
5.3400000000,0.011,5.3400000000,0.
5.35,0.011,5.35,0.
5.36,0.011,5.36,0.
5.3700000000,0.012,5.3700000000,0.
5.38,0.012,5.38,0.
5.39,0.011,5.39,0.
5.4000000000,0.012,5.4000000000,0.
5.41,0.011,5.41,0.
5.42,0.012,5.42,0.
5.4300000000,0.012,5.4300000000,0.
5.44,0.012,5.44,0.
5.45,0.011,5.45,0.
5.4600000000,0.011,5.4600000000,0.
5.47,0.011,5.47,0.
5.48,0.012,5.48,0.
5.4900000000,0.011,5.4900000000,0.
5.5,0.011,5.5,0.
5.51,0.011,5.51,0.
5.5200000000,0.011,5.5200000000,0.
5.5300000000,0.012,5.5300000000,0.
5.54,0.012,5.54,0.
5.55,0.012,5.55,0.
5.5600000000,0.012,5.5600000000,0.
5.57,0.011,5.57,0.
5.58,0.011,5.58,0.
5.5900000000,0.011,5.5900000000,0.
5.6,0.011,5.6,0.
5.61,0.012,5.61,0.
5.6200000000,0.012,5.6200000000,0.
5.63,0.012,5.63,0.
5.64,0.012,5.64,0.
5.6500000000,0.011,5.6500000000,0.
5.66,0.011,5.66,0.
5.67,0.011,5.67,0.
5.6800000000,0.011,5.6800000000,0.
5.69,0.012,5.69,0.
5.7,0.012,5.7,0.
5.7100000000,0.012,5.7100000000,0.
5.72,0.012,5.72,0.
5.73,0.012,5.73,0.
